golden,source_name,imported_name,source_location,assigned_category,expected_category,source_stock,persisted_stock,unit,result
A,Limestone chips(M),Limestone chips(M),"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 23, ""cells"": {""mud_chemical.product_type"": ""R23C14"", ""mud_chemical.used"": ""R23C16"", ""mud_chemical.received"": ""R23C17"", ""mud_chemical.on_hand"": ""R23C19"", ""mud_chemical.unit"": ""R23C20""}, ""table"": ""bulk_materials""}",NULL,UNRESOLVED — no authoritative category/alias; review required,,,25 KG/SX,PASS review policy; NOT fully classified
A,Limestone chips(C),Limestone chips(C),"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 24, ""cells"": {""mud_chemical.product_type"": ""R24C14"", ""mud_chemical.used"": ""R24C16"", ""mud_chemical.received"": ""R24C17"", ""mud_chemical.on_hand"": ""R24C19"", ""mud_chemical.unit"": ""R24C20""}, ""table"": ""bulk_materials""}",NULL,UNRESOLVED — no authoritative category/alias; review required,,,25 KG/SX,PASS review policy; NOT fully classified
A,Limestone chips(F),Limestone chips(F),"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 25, ""cells"": {""mud_chemical.product_type"": ""R25C14"", ""mud_chemical.used"": ""R25C16"", ""mud_chemical.received"": ""R25C17"", ""mud_chemical.on_hand"": ""R25C19"", ""mud_chemical.unit"": ""R25C20""}, ""table"": ""bulk_materials""}",NULL,UNRESOLVED — no authoritative category/alias; review required,,,25 KG/SX,PASS review policy; NOT fully classified
A,Mica (F),Mica (F),"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 26, ""cells"": {""mud_chemical.product_type"": ""R26C14"", ""mud_chemical.used"": ""R26C16"", ""mud_chemical.received"": ""R26C17"", ""mud_chemical.on_hand"": ""R26C19"", ""mud_chemical.unit"": ""R26C20""}, ""table"": ""bulk_materials""}",NULL,UNRESOLVED — no authoritative category/alias; review required,,,25 KG/SX,PASS review policy; NOT fully classified
A,Mica (M),Mica (M),"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 27, ""cells"": {""mud_chemical.product_type"": ""R27C14"", ""mud_chemical.used"": ""R27C16"", ""mud_chemical.received"": ""R27C17"", ""mud_chemical.on_hand"": ""R27C19"", ""mud_chemical.unit"": ""R27C20""}, ""table"": ""bulk_materials""}",NULL,UNRESOLVED — no authoritative category/alias; review required,,,25 KG/SX,PASS review policy; NOT fully classified
A,Mica (C),Mica (C),"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 28, ""cells"": {""mud_chemical.product_type"": ""R28C14"", ""mud_chemical.used"": ""R28C16"", ""mud_chemical.received"": ""R28C17"", ""mud_chemical.on_hand"": ""R28C19"", ""mud_chemical.unit"": ""R28C20""}, ""table"": ""bulk_materials""}",NULL,UNRESOLVED — no authoritative category/alias; review required,80.0,80.0,25 KG/SX,PASS review policy; NOT fully classified
A,Sodium Bicarbonate,Sodium Bicarbonate,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 29, ""cells"": {""mud_chemical.product_type"": ""R29C14"", ""mud_chemical.used"": ""R29C16"", ""mud_chemical.received"": ""R29C17"", ""mud_chemical.on_hand"": ""R29C19"", ""mud_chemical.unit"": ""R29C20""}, ""table"": ""bulk_materials""}",Alkalinity,Alkalinity,,,50 KG/SX,PASS mapped
A,Anti-Foam,Anti-Foam,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 30, ""cells"": {""mud_chemical.product_type"": ""R30C14"", ""mud_chemical.used"": ""R30C16"", ""mud_chemical.received"": ""R30C17"", ""mud_chemical.on_hand"": ""R30C19"", ""mud_chemical.unit"": ""R30C20""}, ""table"": ""bulk_materials""}",NULL,UNRESOLVED — no authoritative category/alias; review required,,,55 GAL/DM,PASS review policy; NOT fully classified
A,H2S Scavenger,H2S Scavenger,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 31, ""cells"": {""mud_chemical.product_type"": ""R31C14"", ""mud_chemical.used"": ""R31C16"", ""mud_chemical.received"": ""R31C17"", ""mud_chemical.on_hand"": ""R31C19"", ""mud_chemical.unit"": ""R31C20""}, ""table"": ""bulk_materials""}",NULL,UNRESOLVED — no authoritative category/alias; review required,,,55 GAL/DM,PASS review policy; NOT fully classified
A,Citric Acid,Citric Acid,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 32, ""cells"": {""mud_chemical.product_type"": ""R32C14"", ""mud_chemical.used"": ""R32C16"", ""mud_chemical.received"": ""R32C17"", ""mud_chemical.on_hand"": ""R32C19"", ""mud_chemical.unit"": ""R32C20""}, ""table"": ""bulk_materials""}",NULL,UNRESOLVED — no authoritative category/alias; review required,,,25 KG/SX,PASS review policy; NOT fully classified
A,Biocide,Biocide,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 33, ""cells"": {""mud_chemical.product_type"": ""R33C14"", ""mud_chemical.used"": ""R33C16"", ""mud_chemical.received"": ""R33C17"", ""mud_chemical.on_hand"": ""R33C19"", ""mud_chemical.unit"": ""R33C20""}, ""table"": ""bulk_materials""}",NULL,UNRESOLVED — no authoritative category/alias; review required,,,55 GAL/DM,PASS review policy; NOT fully classified
A,KCl,KCl,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 34, ""cells"": {""mud_chemical.product_type"": ""R34C14"", ""mud_chemical.used"": ""R34C16"", ""mud_chemical.received"": ""R34C17"", ""mud_chemical.on_hand"": ""R34C19"", ""mud_chemical.unit"": ""R34C20""}, ""table"": ""bulk_materials""}",Shale Inhibitor,Shale Inhibitor,12.0,12.0,1MT/BB,PASS mapped
A,Corrosion Inhibitor,Corrosion Inhibitor,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 35, ""cells"": {""mud_chemical.product_type"": ""R35C14"", ""mud_chemical.used"": ""R35C16"", ""mud_chemical.received"": ""R35C17"", ""mud_chemical.on_hand"": ""R35C19"", ""mud_chemical.unit"": ""R35C20""}, ""table"": ""bulk_materials""}",NULL,UNRESOLVED — no authoritative category/alias; review required,,,55 GAL/DM,PASS review policy; NOT fully classified
A,Oxygen Scavenger,Oxygen Scavenger,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 36, ""cells"": {""mud_chemical.product_type"": ""R36C14"", ""mud_chemical.used"": ""R36C16"", ""mud_chemical.received"": ""R36C17"", ""mud_chemical.on_hand"": ""R36C19"", ""mud_chemical.unit"": ""R36C20""}, ""table"": ""bulk_materials""}",NULL,UNRESOLVED — no authoritative category/alias; review required,,,55 GAL/DM,PASS review policy; NOT fully classified
A,Pipe Lax,Pipe Lax,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 37, ""cells"": {""mud_chemical.product_type"": ""R37C14"", ""mud_chemical.used"": ""R37C16"", ""mud_chemical.received"": ""R37C17"", ""mud_chemical.on_hand"": ""R37C19"", ""mud_chemical.unit"": ""R37C20""}, ""table"": ""bulk_materials""}",NULL,UNRESOLVED — no authoritative category/alias; review required,,,55 GAL/DM,PASS review policy; NOT fully classified
A,Bit Lube,Bit Lube,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 38, ""cells"": {""mud_chemical.product_type"": ""R38C14"", ""mud_chemical.used"": ""R38C16"", ""mud_chemical.received"": ""R38C17"", ""mud_chemical.on_hand"": ""R38C19"", ""mud_chemical.unit"": ""R38C20""}, ""table"": ""bulk_materials""}",Lubricant,Lubricant,,,55 GAL/DM,PASS mapped
A,Drilling Detergent,Drilling Detergent,"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 39, ""cells"": {""mud_chemical.product_type"": ""R39C14"", ""mud_chemical.used"": ""R39C16"", ""mud_chemical.received"": ""R39C17"", ""mud_chemical.on_hand"": ""R39C19"", ""mud_chemical.unit"": ""R39C20""}, ""table"": ""bulk_materials""}",NULL,UNRESOLVED — no authoritative category/alias; review required,,,55 GAL/DM,PASS review policy; NOT fully classified
A,Glass Bead (M),Glass Bead (M),"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 40, ""cells"": {""mud_chemical.product_type"": ""R40C14"", ""mud_chemical.used"": ""R40C16"", ""mud_chemical.received"": ""R40C17"", ""mud_chemical.on_hand"": ""R40C19"", ""mud_chemical.unit"": ""R40C20""}, ""table"": ""bulk_materials""}",NULL,UNRESOLVED — no authoritative category/alias; review required,,,25 KG/SX,PASS review policy; NOT fully classified
A,Kwick Seal (M),Kwick Seal (M),"{""file"": ""/home/user/Drill-master/08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Data"", ""row"": 41, ""cells"": {""mud_chemical.product_type"": ""R41C14"", ""mud_chemical.used"": ""R41C16"", ""mud_chemical.received"": ""R41C17"", ""mud_chemical.on_hand"": ""R41C19"", ""mud_chemical.unit"": ""R41C20""}, ""table"": ""bulk_materials""}",NULL,UNRESOLVED — no authoritative category/alias; review required,80.0,80.0,25 KG/SX,PASS review policy; NOT fully classified
